sample_name	target	off_target	off_target_cosine	off_target_rank	source
dec_BTK_0110	BTK	TEC	0.2193	48	exact
dec_BTK_0110	BTK	ERBB2	0.1034		exact
dec_BTK_0110	BTK	ERBB4	0.0898		exact
dec_BTK_0111	BTK	CSK	0.1660		exact
dec_BTK_0111	BTK	ITK	0.2377	34	exact
dec_BTK_0111	BTK	EGFR	0.1333		exact
dec_BTK_0111	BTK	BMX	0.2476	35	exact
dec_BTK_0111	BTK	TEC	0.2458	5	exact
dec_BTK_0111	BTK	ERBB2	0.1417		exact
dec_BTK_0111	BTK	ERBB4	0.1400		exact
dec_BTK_0112	BTK	CSK	0.2089	100	exact
dec_BTK_0112	BTK	ITK	0.2578	46	exact
dec_BTK_0112	BTK	EGFR	0.0952		exact
dec_BTK_0112	BTK	BMX	0.2653	57	exact
dec_BTK_0112	BTK	TEC	0.2480	66	exact
dec_BTK_0112	BTK	ERBB2	0.1027		exact
dec_BTK_0112	BTK	ERBB4	0.0836		exact
dec_BTK_0113	BTK	CSK	0.1721	68	exact
dec_BTK_0113	BTK	ITK	0.2422	6	exact
dec_BTK_0113	BTK	EGFR	0.1154		exact
dec_BTK_0113	BTK	BMX	0.2504	35	exact
dec_BTK_0113	BTK	TEC	0.2492	5	exact
dec_BTK_0113	BTK	ERBB2	0.1273		exact
dec_BTK_0113	BTK	ERBB4	0.1275		exact
dec_BTK_0114	BTK	CSK	0.2049	67	exact
dec_BTK_0114	BTK	ITK	0.2924	2	exact
dec_BTK_0114	BTK	EGFR	0.0638		exact
dec_BTK_0114	BTK	BMX	0.2694	8	exact
dec_BTK_0114	BTK	TEC	0.3126	1	exact
dec_BTK_0114	BTK	ERBB2	0.0836		exact
dec_BTK_0114	BTK	ERBB4	0.0719		exact
dec_BTK_0116	BTK	CSK	0.1015		exact
dec_BTK_0116	BTK	ITK	0.1772	50	exact
dec_BTK_0116	BTK	EGFR	0.0213		exact
dec_BTK_0116	BTK	BMX	0.2631	40	exact
dec_BTK_0116	BTK	TEC	0.2145	48	exact
dec_BTK_0116	BTK	ERBB2	0.0178		exact
dec_BTK_0116	BTK	ERBB4	0.0090		exact
dec_BTK_0117	BTK	CSK	0.1053		exact
dec_BTK_0117	BTK	ITK	0.2460	4	exact
dec_BTK_0117	BTK	EGFR	0.1272		exact
dec_BTK_0117	BTK	BMX	0.2298	55	exact
dec_BTK_0117	BTK	TEC	0.2302	38	exact
dec_BTK_0117	BTK	ERBB2	0.1500		exact
dec_BTK_0117	BTK	ERBB4	0.1387		exact
dec_BTK_0119	BTK	CSK	0.1882		exact
dec_BTK_0119	BTK	ITK	0.2345	20	exact
