sample_name	target	off_target	off_target_pidx	cosine
dec_ALK_0066	ALK	ROS1	9115	0.1126
dec_BTK_0073	BTK	CSK	21475	0.1726
dec_BTK_0073	BTK	ITK	22283	0.2451
dec_BTK_0073	BTK	EGFR	19976	0.0652
dec_BTK_0073	BTK	BMX	21763	0.3246
dec_BTK_0073	BTK	TEC	21514	0.2449
dec_BTK_0073	BTK	ERBB2	20130	0.0714
dec_BTK_0073	BTK	ERBB4	22387	0.0540
dec_BTK_0074	BTK	CSK	21475	0.2014
dec_BTK_0074	BTK	ITK	22283	0.3190
dec_BTK_0074	BTK	EGFR	19976	0.1954
dec_BTK_0074	BTK	BMX	21763	0.3255
dec_BTK_0074	BTK	TEC	21514	0.3562
dec_BTK_0074	BTK	ERBB2	20130	0.2128
dec_BTK_0074	BTK	ERBB4	22387	0.2286
dec_BTK_0075	BTK	CSK	21475	0.2273
dec_BTK_0075	BTK	ITK	22283	0.2947
dec_BTK_0075	BTK	EGFR	19976	0.1585
dec_BTK_0075	BTK	BMX	21763	0.3170
dec_BTK_0075	BTK	TEC	21514	0.3273
dec_BTK_0075	BTK	ERBB2	20130	0.1837
dec_BTK_0075	BTK	ERBB4	22387	0.1807
dec_BTK_0076	BTK	CSK	21475	0.2480
dec_BTK_0076	BTK	ITK	22283	0.3093
dec_BTK_0076	BTK	EGFR	19976	0.1700
dec_BTK_0076	BTK	BMX	21763	0.3146
dec_BTK_0076	BTK	TEC	21514	0.3355
dec_BTK_0076	BTK	ERBB2	20130	0.2006
dec_BTK_0076	BTK	ERBB4	22387	0.1962
dec_BTK_0077	BTK	CSK	21475	0.1976
dec_BTK_0077	BTK	ITK	22283	0.2564
dec_BTK_0077	BTK	EGFR	19976	0.0797
dec_BTK_0077	BTK	BMX	21763	0.2762
dec_BTK_0077	BTK	TEC	21514	0.2634
dec_BTK_0077	BTK	ERBB2	20130	0.0904
dec_BTK_0077	BTK	ERBB4	22387	0.0734
dec_BTK_0078	BTK	CSK	21475	0.1949
dec_BTK_0078	BTK	ITK	22283	0.2010
dec_BTK_0078	BTK	EGFR	19976	0.1250
dec_BTK_0078	BTK	BMX	21763	0.2412
dec_BTK_0078	BTK	TEC	21514	0.2330
dec_BTK_0078	BTK	ERBB2	20130	0.1219
dec_BTK_0078	BTK	ERBB4	22387	0.1171
dec_BTK_0079	BTK	CSK	21475	0.2495
dec_BTK_0079	BTK	ITK	22283	0.3264
dec_BTK_0079	BTK	EGFR	19976	0.1980
dec_BTK_0079	BTK	BMX	21763	0.3152
dec_BTK_0079	BTK	TEC	21514	0.3575
dec_BTK_0079	BTK	ERBB2	20130	0.2086
dec_BTK_0079	BTK	ERBB4	22387	0.2243
dec_BTK_0080	BTK	CSK	21475	0.2171
dec_BTK_0080	BTK	ITK	22283	0.2321
dec_BTK_0080	BTK	EGFR	19976	0.1892
dec_BTK_0080	BTK	BMX	21763	0.2653
dec_BTK_0080	BTK	TEC	21514	0.2305
dec_BTK_0080	BTK	ERBB2	20130	0.1886
dec_BTK_0080	BTK	ERBB4	22387	0.1982
dec_BTK_0081	BTK	CSK	21475	0.1875
dec_BTK_0081	BTK	ITK	22283	0.2783
dec_BTK_0081	BTK	EGFR	19976	0.1672
dec_BTK_0081	BTK	BMX	21763	0.2989
dec_BTK_0081	BTK	TEC	21514	0.2824
dec_BTK_0081	BTK	ERBB2	20130	0.1658
dec_BTK_0081	BTK	ERBB4	22387	0.1737
dec_BTK_0082	BTK	CSK	21475	0.2036
dec_BTK_0082	BTK	ITK	22283	0.3004
dec_BTK_0082	BTK	EGFR	19976	0.1991
dec_BTK_0082	BTK	BMX	21763	0.2762
dec_BTK_0082	BTK	TEC	21514	0.3137
dec_BTK_0082	BTK	ERBB2	20130	0.2133
dec_BTK_0082	BTK	ERBB4	22387	0.2258
dec_BTK_0083	BTK	CSK	21475	0.1371
dec_BTK_0083	BTK	ITK	22283	0.2693
dec_BTK_0083	BTK	EGFR	19976	0.1339
dec_BTK_0083	BTK	BMX	21763	0.2866
dec_BTK_0083	BTK	TEC	21514	0.2877
dec_BTK_0083	BTK	ERBB2	20130	0.1507
dec_BTK_0083	BTK	ERBB4	22387	0.1405
dec_BTK_0084	BTK	CSK	21475	0.1815
dec_BTK_0084	BTK	ITK	22283	0.2019
dec_BTK_0084	BTK	EGFR	19976	0.1578
dec_BTK_0084	BTK	BMX	21763	0.2541
dec_BTK_0084	BTK	TEC	21514	0.2237
dec_BTK_0084	BTK	ERBB2	20130	0.1616
dec_BTK_0084	BTK	ERBB4	22387	0.1532
dec_BTK_0085	BTK	CSK	21475	0.1607
dec_BTK_0085	BTK	ITK	22283	0.2422
dec_BTK_0085	BTK	EGFR	19976	0.0936
dec_BTK_0085	BTK	BMX	21763	0.2958
dec_BTK_0085	BTK	TEC	21514	0.2736
dec_BTK_0085	BTK	ERBB2	20130	0.1189
dec_BTK_0085	BTK	ERBB4	22387	0.0988
dec_BTK_0086	BTK	CSK	21475	0.1201
dec_BTK_0086	BTK	ITK	22283	0.2429
dec_BTK_0086	BTK	EGFR	19976	0.0783
dec_BTK_0086	BTK	BMX	21763	0.2565
dec_BTK_0086	BTK	TEC	21514	0.2247
dec_BTK_0086	BTK	ERBB2	20130	0.0980
dec_BTK_0086	BTK	ERBB4	22387	0.0892
dec_BTK_0087	BTK	CSK	21475	0.1680
dec_BTK_0087	BTK	ITK	22283	0.2198
dec_BTK_0087	BTK	EGFR	19976	0.1089
dec_BTK_0087	BTK	BMX	21763	0.2549
