drug_idx	cosine	rank	drug_smiles	leakage_class	drug_name	tag	panel_leakage_class
273598	0.35154316	119	O=c1[nH]cc(-c2cc([C@H]3C[C@@H]3c3ccc(OC(F)(F)F)cc3F)c3nccn3n2)c(=O)[nH]1	A			
272395	0.3515253	120	CC1(C)CCN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nc3ncnn23)C1	A			
272925	0.3514635	121	COc1ncc(-c2cc(N3CC4CC3C4)c3nccn3n2)c(OC)n1	A			
273453	0.3514188	122	O=c1[nH]cc(-c2cc(N3CCC4CC43)c3nccn3n2)c(=O)[nH]1	A			
273035	0.3512674	123	Cn1nccc1-c1ccc2nnn(-c3cccc(O)c3)c2c1	A			
272481	0.35125124	124	CNC(=O)c1ccc([C@H]2C[C@@H]2c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)cc1	A			
273136	0.35118705	125	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COC(Cc2ccc(Cl)c(OC(F)(F)F)c2)(C(=O)O)C(=O)O)[C@@H](O)[C@@H]1F	A			
273245	0.35117266	126	O=C(c1ccc([C@H]2C[C@@H]2c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)cc1)N1CC(C(F)(F)F)C1	A			
273665	0.3510294	127	O=c1[nH]cc(-c2cc([C@H]3C[C@@H]3c3ccccc3OC(F)(F)F)c3nccn3n2)c(=O)[nH]1	A			
273433	0.35102502	128	O=c1[nH]cc(-c2cc(N3CCC(F)(C(F)(F)F)C3)c3nccn3n2)c(=O)[nH]1	A			
273388	0.35101545	129	O=c1[nH]cc(-c2cc(N3CC(F)(F)C4(CC4)C3)c3nncn3n2)c(=O)[nH]1	A			
273532	0.35038638	130	O=c1[nH]cc(-c2cc([C@@H]3C[C@H]3c3ccc4c(c3)OC(F)(F)O4)c3nccn3n2)c(=O)[nH]1	A			
273548	0.35034433	131	O=c1[nH]cc(-c2cc([C@H]3C[C@@H]3C(F)(F)F)c3nccn3n2)c(=O)[nH]1	A			
273643	0.3503304	132	O=c1[nH]cc(-c2cc([C@H]3C[C@@H]3c3ccc4cnn(CC(F)(F)F)c4n3)c3nccn3n2)c(=O)[nH]1	A			
273164	0.3501874	133	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COC(Cc2cccc(F)c2)(C(=O)O)C(=O)O)[C@@H](O)[C@@H]1F	A			
273179	0.3500014	134	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COC(Cc2cccnc2)(C(=O)O)c2nn[nH]n2)[C@@H](O)[C@H]1O	A			
273440	0.3499708	135	O=c1[nH]cc(-c2cc(N3CCC(Oc4ccccc4)C3)c3nccn3n2)c(=O)[nH]1	A			
272781	0.34993866	136	C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)C(=O)O)O[C@@H](n2cnc3c(N4CCC[C@H]4CO)nc(Cl)nc32)[C@@H]1O	A			
272855	0.34988108	137	COC1CN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)CC12CC2	A			
272785	0.34962916	138	C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)C(=O)O)O[C@@H](n2cnc3c(N4CC[C@H](CO)C4)nc(Cl)nc32)[C@@H]1O	A			
273489	0.34960532	139	O=c1[nH]cc(-c2cc(NC3CCCC3)c3nccn3n2)c(=O)[nH]1	A			
273320	0.3493889	140	O=P(O)(O)CP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N4CCC5(CCc6ccccc65)C4)nc(Cl)nc32)[C@@H](O)C1O	A			
