drug_idx	cosine	rank	drug_smiles	leakage_class	drug_name	tag	panel_leakage_class
520655	0.29068452	87	Nc1nc2c(ncn2[C@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
510024	0.29066625	88	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)OCCCn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
521166	0.29060218	89	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)OCCCn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
510035	0.2903933	90	Nc1nc2c(ncn2[C@H]2O[C@@H]3COP(=O)(S)OCCCn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
510028	0.28979465	91	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2C3)c(=O)[nH]1	A			
510022	0.28941825	92	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)OCC(F)(F)Cn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
521065	0.2893758	93	CO[C@H]1[C@H]2OP(=O)(S)OCc3nc4cncnc4n3CCOP(=O)(S)OC[C@H]1O[C@@H]2n1cnc2c(=O)[nH]c(N)nc21	A			
520666	0.2893746	94	Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CNS(=O)(=O)O[C@H]3[C@@H](F)[C@H](n4cnc5c(=O)[nH]cnc54)O[C@@H]3CO[P@@](=O)(S)O[C@H]2[C@H]1F	A			
510023	0.28886732	95	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)OCC(F)(F)Cn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2[C@H]3F)c(=O)[nH]1	A			
520646	0.28871414	96	Nc1nc2c(ncn2[C@@H]2O[C@H]3COP(=O)(S)OCCn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2C3)c(=O)[nH]1	A			
520648	0.28869197	97	Nc1nc2c(ncn2[C@H]2O[C@@H]3COP(=O)(S)OCC(F)(F)Cn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
520654	0.2886902	98	Nc1nc2c(ncn2[C@H]2O[C@@H]3COP(=O)(S)OCCn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2C3)c(=O)[nH]1	A			
521146	0.28838637	99	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4C[C@H](Oc5cnsn5)C[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
510034	0.28818697	100	Nc1nc2c(ncn2[C@H]2O[C@@H]3COP(=O)(S)OCC(F)(F)Cn4c(nc5cncnc54)COP(=O)(S)O[C@@H]2[C@H]3F)c(=O)[nH]1	A			
8255	0.28773972	101	[NH2+]=c1ccn([C@@H]2O[C@H](CO[P@](=O)([O-])O[C@H]3[C@@H](O)[C@H](n4cnc5c(=O)[nH]c(=[NH2+])[nH]c54)O[C@@H]3CO[P@@](=O)([O-])O[C@H]3[C@@H](O)[C@H](n4cnc5c(=O)[nH]c(=[NH2+])[nH]c54)O[C@@H]3CO[P@@](=O)([O-])O[C@H]3[C@@H](O)[C@H](n4cnc5c(=O)[nH]c(=[NH2+])[nH]c54)O[C@@H]3COP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]2O)c(=O)[nH]1	B			
520684	0.28772682	102	Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@@](=O)(S)O[C@H]3[C@@H](F)[C@H](n4cnc5c(=O)[nH]cnc54)O[C@@H]3CNS(=O)(=O)O[C@H]2[C@H]1F	A			
5017	0.28745317	103	CO[C@@H]1[C@@H]2O[P@@](=O)([O-])O[NH2+]OCCCCCCO[P@@](=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(=[NH2+])[nH]c54)[C@H](OC)[C@@H]3O[P@@](=O)([O-])OC[C@H]3C[N@@H+](Cc4c[nH]c5c(N)ncnc45)C[C@@H]3O[P@@](=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(=[NH2+])[nH]c54)[C@H](OC)[C@@H]3O[P@@](=O)([O-])OC[C@H]2O[C@H]1n1cnc2c(N)ncnc21	B			
520687	0.28653774	104	Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@](=O)(S)O[C@H]3[C@@H](F)[C@H](n4cnc5c(=O)[nH]cnc54)O[C@@H]3COS(=O)(=O)O[C@H]2[C@H]1F	A			
521137	0.28643417	105	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3O)C[C@@H](Nc2ccncn2)[C@@H]4O)c(=O)[nH]1	A			
510019	0.2852261	106	Nc1nc2c(nc3n2CCOP(=O)(S)OC[C@H]2O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(S)OC3)[C@@H]2F)c(=O)[nH]1	A			
268541	0.2850597	107	NC(=O)c1csc([C@@H]2O[C@H](CNS(=O)(=O)CS(=O)(=O)NC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)n1	B			
521139	0.28493008	108	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4C[C@H](Nc5ccncn5)C[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
