drug_idx	cosine	rank	drug_smiles	leakage_class	drug_name	tag	panel_leakage_class
20210	0.27458557	207	CCc1cc(/C=C/C(=O)c2ccc(SC)cc2)cc(CC)c1O	B			
11209	0.27426678	208	CCOc1ccc(C(F)(F)F)cc1CSc1ccsc1C(=O)NS(=O)(=O)c1ccccc1	B			
39576	0.2740421	209	Cc1cccc(C)c1-n1cc2c(=O)[nH]c(N3CC(OCC(F)(F)F)C3)nc2n1	A			
39533	0.27347833	210	Cc1ccc(C(C)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N2CCOCC2)co1	A			
39448	0.27345884	211	COCCN(CCOC)S(=O)(=O)NC(=O)c1coc(Nc2cc(C(F)(F)F)ccc2C)n1	A			
190902	0.27338898	212	N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1ccc(F)cc1	B			
20183	0.2733696	213	CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3cc(O)ccc3o1)C2	B			
39756	0.2731195	214	CC(C)c1nn(Cc2nnc(-c3cnccc3C(F)(F)F)o2)c(=O)c2cc3sc(Cl)cc3n12	A			
190885	0.27299106	215	CC(C)(O)c1ccc(F)c(S(=O)(=NC#N)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1	B			
190905	0.27276412	216	N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1cccc(C#N)c1	B			
20238	0.2725774	217	CSc1ccc(C(=O)/C=C/c2cc(C)c(O)c(C)c2)cc1	B			
20146	0.27246577	218	CCC(=O)NS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)c1cc3ccccc3o1)C2	B			
87334	0.27205092	219	COCCc1sc(S(=O)(=O)NC(=O)Nc2cc(C(F)(F)F)cc(N)n2)cc1C	B			
190893	0.2719787	220	COc1cccc(S(=O)(=NC#N)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1	B			
39715	0.2715883	221	CC(C)c1cc(C#N)c(F)c(C(C)C)c1NC(=O)N=S(N)(=O)c1sc(C(C)(C)O)nc1CO	A			
190899	0.27139094	222	N#CN=S(=O)(NC(=O)Nc1c2c(cc3c1CCC3)CCC2)c1ccc(C#N)cc1	B			
39798	0.27112135	223	CCOC[C@H]1OCCN(S(=O)(=O)NC(=O)c2coc(Nc3cc(C)c(F)cc3C)n2)C[C@@H]1OC	A			
39804	0.2710492	224	CCc1cc(=O)n2nc(Nc3c4c(cc5c3CCC5)CCC4)nc2[nH]1	A			
