target_group	target_gene	drug_name	indication	clinical_stage	pubchem_cid	pubchem_status	smiles_input	smiles_canonical	drug_idx	resolution_method	target_pidx_canonical	n_target_pidxs_in_training	leakage_class
CDK4_6	CDK6	abemaciclib	HR+ breast	approved	46220502	hit	CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F	CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1	23763	strict_canonical	22143	9	B
JAK_family	JAK1	tofacitinib	rheumatoid arthritis	approved	9926791	hit	C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12	4551	strict_canonical	20927	29	A
JAK_family	JAK2	tofacitinib	rheumatoid arthritis	approved	9926791	hit	C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12	4551	strict_canonical	22153	68	A
JAK_family	JAK3	tofacitinib	rheumatoid arthritis	approved	9926791	hit	C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12	4551	strict_canonical	21775	34	A
JAK_family	JAK1	ruxolitinib	myelofibrosis	approved	25126798	hit	C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3	N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1	278506	strict_canonical	20927	29	A
JAK_family	JAK2	ruxolitinib	myelofibrosis	approved	25126798	hit	C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3	N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1	278506	strict_canonical	22153	68	B
JAK_family	JAK1	baricitinib	rheumatoid arthritis	approved	44205240	hit	CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3	CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1	9485	strict_canonical	20927	29	A
JAK_family	JAK2	baricitinib	rheumatoid arthritis	approved	44205240	hit	CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3	CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1	9485	strict_canonical	22153	68	B
JAK_family	JAK1	upadacitinib	rheumatoid arthritis	approved	58557659	hit	CC[C@@H]1CN(C[C@@H]1C2=CN=C3N2C4=C(NC=C4)N=C3)C(=O)NCC(F)(F)F	CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12	25635	strict_canonical	20927	29	A
JAK_family	TYK2	deucravacitinib	psoriasis (TYK2-selective)	approved	134821691	hit	[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=NN(C=N3)C)NC(=O)C4CC4	[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC	-1	miss	21138	20	C
JAK_family	JAK2	fedratinib	myelofibrosis	approved	16722836	hit	CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1	284384	strict_canonical	22153	68	B
