source	class_strict	stratum	n	pearson_raw	spearman_raw	rmse_raw	ci_raw	mean_err_raw	pearson_recal	spearman_recal	rmse_recal	ci_recal	mean_err_recal
bindingdb	C_strict	MODERATE	2137	0.14032076496325666	0.11759171568044972	1.0312259266407553	0.5384133781926688	0.4778128183464398	0.14032076496325668	0.11759171568044972	1.342634637228624	0.5384133781926688	1.1181122021736958
bindingdb	C_strict	WEAK	1159	0.2862436321626121	0.27386609821243474	1.9303419724499136	0.5913332763755675	1.658380881457943	0.28624363216261184	0.27386609821243474	2.700197417987764	0.5913332763755675	2.5728608463697324
bindingdb	C_strict	ALL	4328	0.39512223429319016	0.38987596109364764	1.5756456525957536	0.633724946112997	0.27990441108914393	0.3951222342931902	0.38987596109364764	1.8309662703608838	0.633724946112997	0.9806102869451261
ALL_3	A	TIGHT	2127	0.20305374784577904	0.19234161146557527	1.5264682269896233	0.5652750208477367	-1.2441441549811896	0.20305374784577898	0.19234161146557527	1.1267995291287196	0.5652750208477367	-0.8014726532272731
ALL_3	A	MODERATE	1397	0.09312377094279968	0.06886008754371808	1.0048775850987626	0.5240513934895769	0.5174055497856678	0.09312377094279968	0.06886008754371808	1.2784041153100159	0.5240513934895769	1.06953726820132
ALL_3	A	WEAK	95	0.24025720120949978	0.20715393875119137	1.59819974369488	0.5681248575985418	1.3622340225534975	0.24025720120949978	0.20715393875119137	2.297980571927078	0.5681248575985418	2.2167238919704086
ALL_3	A	ALL	3619	0.32359170091489414	0.29154248343696565	1.3514136674382318	0.6003790423772752	-0.4957355160132163	0.32359170091489387	0.29154248343696565	1.2311482250409158	0.6003790423772752	6.329897154160163e-15
ALL_3	B	TIGHT	4133	0.08795232732632752	0.14170982014571065	1.6254104760676937	0.549064881103515	-1.2351083468559283	0.0879523273263275	0.14170982014571065	1.2029845591563222	0.549064881103515	-0.7815870159459417
ALL_3	B	MODERATE	7854	0.11528716917718979	0.1125165823346856	1.1317582761001173	0.5376362592942593	0.6605451318439205	0.11528716917718979	0.1125165823346856	1.4268106838610177	0.5376362592942593	1.2300335828480444
ALL_3	B	WEAK	2092	0.29439276414294735	0.28556412051362023	2.0819611411611434	0.5992879894112917	1.8474435546827885	0.29439276414294735	0.28556412051362023	2.7635485177192454	0.5992879894112917	2.659117569153277
ALL_3	B	ALL	14079	0.3582899173900385	0.341307560947778	1.460883481123195	0.6193587438280496	0.2804226567471407	0.35828991739003857	0.341307560947778	1.6417399239332198	0.6193587438280496	0.8518544340828624
ALL_3	C_strict	TIGHT	1286	0.08093171433891892	0.09864288358259046	1.906706652355292	0.5339927022485786	-1.5789649464642075	0.08093171433891894	0.09864288358259046	1.3690964470215259	0.5339927022485786	-0.9913346683384807
ALL_3	C_strict	MODERATE	2921	0.12464757468577545	0.11211712753651414	0.9910614012108525	0.5371561034739276	0.459231307334731	0.12464757468577548	0.11211712753651414	1.305161397167927	0.5371561034739276	1.0931891116527412
ALL_3	C_strict	WEAK	1159	0.2862436321626121	0.27386609821243474	1.9303419724499136	0.5913332763755675	1.658380881457943	0.28624363216261184	0.27386609821243474	2.700197417987764	0.5913332763755675	2.5728608463697324
ALL_3	C_strict	ALL	5366	0.3744364287232297	0.34975996162103534	1.4868660388146926	0.619390628887516	0.22976689697755018	0.37443642872322974	0.34975996162103534	1.7179319332131	0.619390628887516	0.9132118398428793
